Config,Z,P_ff,I_ff,MaxR_P,MaxR_I
config_15_det1_b15_s20_h12_w1500,2,276.168535055985,1274.88781758312,35.269831318016145,46.42177356235659
config_15_det1_b15_s20_h12_w1500,3,110.489999377789,954.913490984421,45.09978935580961,70.86845515471833
config_15_det1_b15_s20_h12_w1500,4,62.265165672113,754.396736282332,64.12967525572398,80.1635237174832
config_15_det1_b15_s20_h12_w1500,5,41.3983921590561,615.089943611065,83.19724363806363,93.31624079525332
config_15_det1_b15_s20_h12_w1500,6,30.5947542861908,517.737731419071,,100.10750519242055
config_15_det1_b15_s20_h12_w1500,7,24.0675826659041,446.310779861523,,115.15990246251874
config_15_det1_b15_s20_h12_w1500,8,19.5984247045618,391.790936353185,,133.54341995771597
config_16_det1_b15_s20_h24_w50,1,1143.99309910078,724.976931135836,4.082920412019968,11.500064784186147
config_16_det1_b15_s20_h24_w50,2,226.084029078955,415.578696008349,11.71866889919486,12.447647749274704
config_16_det1_b15_s20_h24_w50,3,95.9537592016972,309.044693901097,12.113184503383524,14.789647730342795
config_16_det1_b15_s20_h24_w50,4,55.3066653883184,243.601640148777,16.547454440096356,32.25411448213672
config_16_det1_b15_s20_h24_w50,5,36.993922117345,199.162959091226,,34.05121884897425
config_16_det1_b15_s20_h24_w50,6,27.0813487792226,167.515272305283,,34.68096221889634
config_17_det1_b15_s20_h24_w500,1,1371.96964499226,1562.09876717853,11.794993187746353,12.834864597326876
config_17_det1_b15_s20_h24_w500,2,259.641330065364,879.048720659531,18.15439801973,35.12869513070095
config_17_det1_b15_s20_h24_w500,3,105.27554977829,661.976402363107,35.79139307429953,45.62727518976591
config_17_det1_b15_s20_h24_w500,4,59.8243642194367,522.325202955406,43.31078884396697,51.04583688696088
config_17_det1_b15_s20_h24_w500,5,40.4077641479295,425.720697172114,,65.38270756595176
config_17_det1_b15_s20_h24_w500,6,30.0937750463872,358.05135977561,,66.75957168633578
config_18_det1_b15_s20_h24_w1500,1,1482.77218730659,2195.12941567296,13.518949361388355,32.98781709063124
config_18_det1_b15_s20_h24_w1500,2,276.168535055985,1274.88781758312,35.269831318016145,46.86289585626618
config_18_det1_b15_s20_h24_w1500,3,110.489999377789,954.913490984421,45.099814300507546,65.23519266407054
config_18_det1_b15_s20_h24_w1500,4,62.265165672113,754.396736282332,63.972959121085914,80.08736978183673
config_18_det1_b15_s20_h24_w1500,5,41.3983921590561,615.089943611065,71.17954407296831,81.43901489383929
config_18_det1_b15_s20_h24_w1500,6,30.5947542861908,517.737731419071,,98.61965221033267
config_19_det1_b30_s5_h4_w50,1,1143.99309910078,724.976931135836,5.637410010098854,15.262275813127617
config_19_det1_b30_s5_h4_w50,2,226.084029078955,415.578696008349,12.902440008294924,20.609569929789483
config_19_det1_b30_s5_h4_w50,3,95.9537592016972,309.044693901097,20.517634273235906,25.902961798111097
config_19_det1_b30_s5_h4_w50,4,55.3066653883184,243.601640148777,28.214560499000914,32.663067757653586
config_19_det1_b30_s5_h4_w50,5,36.993922117345,199.162959091226,,35.92889531682199
config_19_det1_b30_s5_h4_w50,6,27.0813487792226,167.515272305283,,39.51464553756392
config_20_det1_b30_s5_h4_w500,1,1371.96964499226,1562.09876717853,15.597987551706073,24.64712993821363
config_20_det1_b30_s5_h4_w500,2,259.641330065364,879.048720659531,29.574468909892722,37.769937960154664
config_20_det1_b30_s5_h4_w500,3,105.27554977829,661.976402363107,46.60013347903688,40.83355806743754
config_20_det1_b30_s5_h4_w500,4,59.8243642194367,522.325202955406,,58.583519820741785
config_20_det1_b30_s5_h4_w500,5,40.4077641479295,425.720697172114,,72.52261281321987
config_20_det1_b30_s5_h4_w500,6,30.0937750463872,358.05135977561,,80.39786226546757
config_20_det1_b30_s5_h4_w500,7,23.5282591644182,308.420236242715,,84.1266180807252
config_21_det1_b30_s5_h4_w1500,1,1482.77218730659,2195.12941567296,22.689459411332226,32.44202342401681
