Config,Z,P_ff,I_ff,MaxR_P,MaxR_I
config_25_det1_b30_s5_h24_w50,4,55.3066653883184,243.601640148777,25.676977632789356,37.7866354697896
config_25_det1_b30_s5_h24_w50,5,36.993922117345,199.162959091226,,39.12883568587757
config_25_det1_b30_s5_h24_w50,6,27.0813487792226,167.515272305283,,39.37068145960481
config_26_det1_b30_s5_h24_w500,1,1371.96964499226,1562.09876717853,14.722390826472559,45.844941238074775
config_26_det1_b30_s5_h24_w500,2,259.641330065364,879.048720659531,27.617719203226372,44.540260254840355
config_26_det1_b30_s5_h24_w500,3,105.27554977829,661.976402363107,43.08859455702704,55.746299338716334
config_26_det1_b30_s5_h24_w500,4,59.8243642194367,522.325202955406,55.49055060391369,82.88127796761546
config_26_det1_b30_s5_h24_w500,5,40.4077641479295,425.720697172114,56.59122003522633,102.17674467182944
config_27_det1_b30_s5_h24_w1500,1,1482.77218730659,2195.12941567296,21.950011432568267,49.68713263618433
config_27_det1_b30_s5_h24_w1500,2,276.168535055985,1274.88781758312,39.94258732948978,55.34532233569121
config_27_det1_b30_s5_h24_w1500,3,110.489999377789,954.913490984421,55.927166838197984,89.75121876286596
config_27_det1_b30_s5_h24_w1500,4,62.265165672113,754.396736282332,90.02005921472029,108.12521880755918
config_27_det1_b30_s5_h24_w1500,5,41.3983921590561,615.089943611065,,133.1534266065924
config_27_det1_b30_s5_h24_w1500,6,30.5947542861908,517.737731419071,,146.98366717512832
