Config,Z,P_ff,I_ff,MaxR_P,MaxR_I,beyond_P,beyond_I,RadiusEstimator
config_53_det2_b15_s20_h24_w500,8,19.0428108742971,270.599644012954,80.97061967158211,81.79643176814011,True,False,p95
config_53_det2_b15_s20_h24_w500,9,15.852309192731,240.900973795346,86.15440354387,99.13087939688621,True,False,p95
config_53_det2_b15_s20_h24_w500,10,13.4989773933766,217.007292249313,95.47173010896994,108.22953551671631,True,True,p95
config_53_det2_b15_s20_h24_w500,11,11.7063849801001,197.385914003329,99.46691032700272,117.0012019169034,True,True,p95
config_53_det2_b15_s20_h24_w500,12,10.3024927250127,174.798447942669,99.99753121952561,132.13047560024904,True,True,p95
config_53_det2_b15_s20_h24_w500,13,8.2343773807999,165.736766297224,105.31678403749328,146.04884167031992,True,True,p95
config_53_det2_b15_s20_h24_w500,14,7.1387354334877,155.114313416779,115.45616051125207,156.09287771871172,True,True,p95
config_53_det2_b15_s20_h24_w500,15,6.30992163133089,144.57194507965,118.25660658077416,168.4551127155243,True,True,p95
config_53_det2_b15_s20_h24_w500,16,5.64079151507659,135.933108110648,133.94635120076993,174.08223631376063,True,True,p95
config_53_det2_b15_s20_h24_w500,17,5.12956312475836,128.020670362398,144.2918050341044,192.73372515985182,True,True,p95
config_53_det2_b15_s20_h24_w500,18,4.70918677317163,120.936071767983,150.1753142164184,204.5496377388963,True,True,p95
config_53_det2_b15_s20_h24_w500,19,4.34538602141658,114.666952954547,181.6882632422909,219.35957923008513,True,True,p95
config_53_det2_b15_s20_h24_w500,20,4.03167079521766,108.995763264335,192.65286138544633,229.719482907985,True,True,p95
config_54_det2_b15_s20_h24_w1500,1,1482.77218730659,2195.12941567296,16.725168160589597,23.045634076761697,False,False,p95
config_54_det2_b15_s20_h24_w1500,2,276.168535055985,1274.88781758312,28.976995185836643,46.367351121236155,False,False,p95
config_54_det2_b15_s20_h24_w1500,3,110.489999377789,954.913490984421,47.630728001994676,54.81561137121432,False,False,p95
config_54_det2_b15_s20_h24_w1500,4,62.265165672113,754.396736282332,65.25267235906894,64.60291208606621,False,False,p95
config_54_det2_b15_s20_h24_w1500,5,41.3983921590561,615.089943611065,80.76027024471871,73.43239237557223,False,False,p95
config_54_det2_b15_s20_h24_w1500,6,30.5947542861908,517.737731419071,83.35743068257324,97.18223217234723,False,False,p95
config_54_det2_b15_s20_h24_w1500,7,24.0675826659041,446.310779861523,96.098679751597,115.96819068175549,True,False,p95
config_54_det2_b15_s20_h24_w1500,8,19.5984247045618,391.790936353185,101.54617791921072,131.04714989672783,True,False,p95
config_54_det2_b15_s20_h24_w1500,9,14.813237392189,347.069530043393,115.69410097321298,146.6044236565059,True,True,p95
