Config,Z,P_ff,I_ff,MaxR_P,MaxR_I,beyond_P,beyond_I,RadiusEstimator
config_88_det2_b10_s12_h15_w1000,18,4.91498046875,153.208526611328,198.11296931576973,226.63466379469259,True,True,req
config_88_det2_b10_s12_h15_w1000,19,4.55701953125,145.16609954834,209.65091024526143,241.64759407497155,True,True,req
config_88_det2_b10_s12_h15_w1000,20,4.24378515625,137.92414855957,219.634440605293,251.10735585933494,True,True,req
config_89_det1_b10_s5_h15_w250,1,1322.68273568211,1231.55614540992,5.416641025580336,8.585758557052486,False,False,req
config_89_det1_b10_s5_h15_w250,2,252.93209269631,694.862830042474,10.39547377467713,16.728262013729935,False,False,req
config_89_det1_b10_s5_h15_w250,3,104.998977908618,525.24000926827,18.505441767220795,23.191741525810432,False,False,req
config_89_det1_b10_s5_h15_w250,4,59.7200348642112,414.304889211797,24.90387269080855,29.805274281576406,False,False,req
config_89_det1_b10_s5_h15_w250,5,39.8568210825817,338.841406453851,30.96586628854423,46.84499839897532,False,False,req
config_89_det1_b10_s5_h15_w250,6,29.1032232969694,285.270286428345,38.8905499446845,58.42215226264778,False,False,req
config_89_det1_b10_s5_h15_w250,7,22.5780158271681,245.899008295199,54.37210107214912,69.24963086544216,True,False,req
config_89_det1_b10_s5_h15_w250,8,18.2704668808745,215.87945345554,64.29243637474006,80.68906911719827,True,False,req
config_89_det1_b10_s5_h15_w250,9,15.2425257500057,192.266813750414,72.88471290332424,89.88675861883105,True,False,req
config_89_det1_b10_s5_h15_w250,10,13.0104568662737,173.233610024881,79.87568387813653,98.1364757620733,True,True,req
config_89_det1_b10_s5_h15_w250,11,11.3050806069729,157.581691801359,84.2135047067868,106.0937176116789,True,True,req
config_89_det1_b10_s5_h15_w250,12,9.96424838716288,144.494696357211,94.28609852464996,113.76905102980433,True,True,req
config_89_det1_b10_s5_h15_w250,13,8.88536700979521,133.398136789257,98.67652393046686,122.34834149536587,True,True,req
